Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,21,2,0,doler,69627,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,31,5,1,gustar,541858,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,26,7,0,haber,7679109,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,38,10,0,excluir,53412,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,22,12,0,amar,80242,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,32,15,0,amar,80242,1,Canonical,,,,Aspect,Preterit,G,Regular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,27,17,0,estar,10180830,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,37,20,1,tener,8031798,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,23,22,1,vivir,599425,1,Canonical,,,,Aspect,Preterit,E,Regular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,33,25,0,faltar,182742,1,DativeExp,,,,Aspect,Preterit,G,Regular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,28,27,1,excluir,53412,0,Canonical,,,,Aspect,Preterit,F,Irregular stative with durante
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,38,30,1,creer,537246,0,Canonical,,,,Aspect,Preterit,H,Irregular stative with entre
SBC08,59,Female,Comparison,,45,0,18,18,40,10,47,13,13,A,24,32,0,gustar,541858,1,DativeExp,,,,Aspect,Preterit,E,Regular stative with durante
