Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Type_Main,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,Token_Main_Lemma_Std,Token_Sub_Std,LOR_Std,DELE_Std
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,11,48,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F],02,42,0.6930874030240756,-0.7548944700832356,0.38465323533522366,0,0.4889829016181076
SBC02,4,Female,Comparison,NA,28,0,3,22,40,7,48,21,21,B,1,50,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],02,42,0.6930874030240756,1.8232572826095066,0.9323614088620102,0,0.4889829016181076
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,20,3,1,ordenar,65158,NA,NA,1,Canonical,bailar,29935,Mood,Subjunctive,D,[–F/–F],03,32,-0.4981565709235539,-0.9259570690542853,-0.9910865561885636,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,10,5,1,esperar,1409514,NA,NA,1,Canonical,atar,15876,Mood,Subjunctive,B,[+F/–F],03,32,-0.4981565709235539,1.8232572826095066,-1.03165421898972,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,15,8,1,conseguir,129144,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,C,[–F/+F],03,32,-0.4981565709235539,-0.7951053976922656,1.134360033709592,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,5,10,1,necesitar,593469,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,A,[+F/+F],03,32,-0.4981565709235539,0.1544414141911121,0.38465323533522366,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,19,13,1,valorar,113028,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,D,[–F/–F],03,32,-0.4981565709235539,-0.828062693595593,-0.8647320938228309,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,9,15,1,necesitar,593469,NA,NA,1,Canonical,prestar,73724,Mood,Subjunctive,B,[+F/–F],03,32,-0.4981565709235539,0.1544414141911121,-0.8647320938228309,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,14,18,1,ordenar,65158,NA,NA,1,Canonical,tratar,590952,Mood,Subjunctive,C,[–F/+F],03,32,-0.4981565709235539,-0.9259570690542853,0.627744689399056,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,4,20,1,querer,1263949,NA,NA,0,Canonical,tratar,590952,Mood,Subjunctive,A,[+F/+F],03,32,-0.4981565709235539,1.5255761720257477,0.627744689399056,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,18,23,1,desear,148807,NA,NA,1,Canonical,robar,28182,Mood,Subjunctive,D,[–F/–F],03,32,-0.4981565709235539,-0.7548944700832356,-0.9961448898460377,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,8,25,1,permitir,935997,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,B,[+F/–F],03,32,-0.4981565709235539,0.8549127874335384,-0.8519867089026583,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,13,28,1,valorar,113028,NA,NA,1,Canonical,quedar,947469,Mood,Subjunctive,C,[–F/+F],03,32,-0.4981565709235539,-0.828062693595593,1.6564851004439285,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,3,30,1,permitir,935997,NA,NA,0,Canonical,enviar,766523,Mood,Subjunctive,A,[+F/+F],03,32,-0.4981565709235539,0.8549127874335384,1.134360033709592,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,17,33,1,conseguir,129144,NA,NA,0,Canonical,atar,15876,Mood,Subjunctive,D,[–F/–F],03,32,-0.4981565709235539,-0.7951053976922656,-1.03165421898972,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,7,35,1,pedir,432187,NA,NA,0,Canonical,bailar,29935,Mood,Subjunctive,B,[+F/–F],03,32,-0.4981565709235539,-0.1753810354167594,-0.9910865561885636,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,12,38,1,sugerir,88224,NA,NA,0,Canonical,dejar,696519,Mood,Subjunctive,C,[–F/+F],03,32,-0.4981565709235539,-0.8787869904177656,0.9323614088620102,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,2,40,1,pedir,432187,NA,NA,0,Canonical,quedar,947469,Mood,Subjunctive,A,[+F/+F],03,32,-0.4981565709235539,-0.1753810354167594,1.6564851004439285,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,16,43,1,sugerir,88224,NA,NA,0,Canonical,viajar,78141,Mood,Subjunctive,D,[–F/–F],03,32,-0.4981565709235539,-0.8787869904177656,-0.8519867089026583,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,6,45,1,querer,1263949,NA,NA,0,Canonical,robar,28182,Mood,Subjunctive,B,[+F/–F],03,32,-0.4981565709235539,1.5255761720257477,-0.9961448898460377,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,11,48,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F],03,32,-0.4981565709235539,-0.7548944700832356,0.38465323533522366,1.1021760239060472,1.257384604160852
SBC03,8,Female,Comparison,NA,55,0,15,34,40,10,49,16,16,B,1,50,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],03,32,-0.4981565709235539,1.8232572826095066,0.9323614088620102,1.1021760239060472,1.257384604160852
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,1,1,1,esperar,1409514,NA,NA,1,Canonical,dejar,696519,Mood,Subjunctive,A,[+F/+F],04,48,1.4078337873926532,1.8232572826095066,0.9323614088620102,-1.8369600398434118,2.0257863067035964
SBC04,5,Female,Comparison,NA,30,0,10,2,40,10,50,25,23,A,11,3,1,desear,148807,NA,NA,1,Canonical,tomar,506707,Mood,Subjunctive,C,[–F/+F],04,48,1.4078337873926532,-0.7548944700832356,0.38465323533522366,-1.8369600398434118,2.0257863067035964
