Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,FofA_Prod,FofA_Comp,Battery,Item,Seq_Item,Average,MainVerb,LF_Main,TF_Main,Syntax_Main,VolScore_Main,SubVerb,LF_Sub,Morpheme,Property,Condition,Condition_Exp,Participant,FofA,FofA_Std,LF_Std,LOR_Std,DELE_Std
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,22,39,0,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.4126469862348285,-0.7245112074524478,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,36,42,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,30,0.4126469862348285,1.297974405919307,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,26,44,0,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,30,0.4126469862348285,1.2082676329940492,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,31,47,0,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,30,0.4126469862348285,-0.6070987514624232,-0.4501686488534494,1.2467773326435745
L2L04,33,Male,L2 Learner,NA,25,9,0,1.33,37,0,49,14,16,B,21,49,0,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,30,0.4126469862348285,-0.7272111425074158,-0.4501686488534494,1.2467773326435745
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,40,2,1,haber,7679109,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.43602588043422236,1.2082676329940492,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,30,4,1,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.43602588043422236,-0.6082718179224809,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,35,7,1,doler,69627,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.43602588043422236,-0.7272111425074158,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,25,9,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,20,-0.43602588043422236,-0.6984402377742357,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,39,12,1,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.43602588043422236,1.8445826801584029,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,29,14,0,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.43602588043422236,1.297974405919307,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,34,17,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.43602588043422236,-0.5924565318383682,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,24,19,1,gustar,541858,1,DativeExp,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,20,-0.43602588043422236,-0.6070987514624232,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,38,22,0,creer,537246,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.43602588043422236,-0.6082718179224809,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,28,24,1,excluir,53412,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.43602588043422236,-0.731335442735047,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,33,27,1,faltar,182742,1,DativeExp,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.43602588043422236,-0.6984402377742357,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,23,29,1,vivir,599425,1,Canonical,NA,NA,NA,Aspect,Preterit,E,Regular stative with durante,2,20,-0.43602588043422236,-0.5924565318383682,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,37,32,1,tener,8031798,0,Canonical,NA,NA,NA,Aspect,Preterit,H,Irregular stative with entre,2,20,-0.43602588043422236,1.297974405919307,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,27,34,1,estar,10180830,0,Canonical,NA,NA,NA,Aspect,Preterit,F,Irregular stative with durante,2,20,-0.43602588043422236,1.8445826801584029,-0.5753969085652074,-0.14842587293375872
L2L05,47,Male,L2 Learner,NA,20,14,0,0,31,3,39,10,10,B,32,37,1,amar,80242,1,Canonical,NA,NA,NA,Aspect,Preterit,G,Regular stative with entre,2,20,-0.43602588043422236,-0.7245112074524478,-0.5753969085652074,-0.14842587293375872
